Tabelle: 73421-0001
Absatz von Bier, betriebene Braustätten, Verbrauch von Bier:;;;;;;;;;;
Deutschland, Jahre;;;;;;;;;;
Biersteuerstatistik;;;;;;;;;;
Deutschland;;;;;;;;;;
;Absatz von Bier;Absatz von Biermischungen;Versteuerter Bierabsatz;Steuerfreier Bierabsatz;Steuerfreier Bierabsatz in EU-Länder;Steuerfreier Bierabsatz in Drittländer;Steuerfreier Bierabsatz als Haustrunk;Betriebene Braustätten;Verbrauch von Bier;Annähernder Verbrauch von Bier je Einwohner
;hl;hl;hl;hl;hl;hl;hl;Anzahl;hl;l
1993;112141334;.;105207104;6934230;3847304;2711473;375452;1311;100785345;130,3
1994;115660265;.;107356274;8303991;4289903;3672039;342048;1299;108006115;132,7
1995;115252060;.;106345563;8906496;4696448;3882945;327102;1282;107091697;131,1
1996;112806908;.;103506368;9300540;5128537;3870892;301110;1276;104290568;127,3
1997;112669814;.;103146796;9523018;5832665;3404024;286328;1273;103940973;126,7
1998;109384583;.;100180257;9204326;6132418;2797534;274374;1285;100908193;123,0
1999;110148097;1429533;100415120;9732977;6840331;2634285;258361;1281;101066743;123,1
2000;109795609;1895105;98799048;10996561;7911066;2841229;244266;1280;99477050;121,0
2001;107814758;2253733;96736242;11078516;8270980;2571330;236206;1299;97420634;118,3
2002;107767840;2921002;96480757;11287083;8120219;2936528;230336;1289;97167133;117,8
2003;105568280;2752250;93254447;12313833;9009669;3084040;220124;1275;94028494;114,0
2004;105864017;2585946;91962735;13901282;10828711;2856960;215611;1281;92396601;112,0
2005;105368998;2985448;91277109;14091890;10994773;2884923;212194;1281;91526701;111,0
2006;106839063;3515329;91867369;14971695;11648729;3126598;196367;1289;92122682;111,8
2007;103969397;4154971;88503564;15465833;11817854;3457700;190280;1306;88747520;107,9
2008;102910763;4200209;87735031;15175732;11675279;3315852;184601;1328;87926465;107,1
2009;99979201;4075195;85889056;14090144;10749091;3164720;176333;1331;86087727;105,1
2010;98350734;3967715;83431001;14919733;11028513;3725289;165930;1333;83619950;102,3
2011;98293273;3836189;82759820;15533453;11248396;4126977;158081;1347;83015185;103,5
2012;96531972;4315453;81023930;15508042;11033069;4324032;150942;1341;81245431;101,0
2013;94645879;4236569;79717489;14928390;10079292;4701989;147110;1352;79930195;99,1
2014;95666724;4147606;80065926;15600797;10135661;5312992;152144;1359;80280922;99,1
2015;95771994;4032264;79533843;16238152;9889925;6206823;141404;1392;79706441;97,6
2016;95879991;4010879;79052584;16827407;9893799;6796338;137270;1411;79260218;96,2
2017;93547200;3966901;77242767;16304433;9656063;6520007;128362;1500;77433176;93,7
2018;94008257;4438695;77738234;16270023;9371969;6766886;131168;1542;77921117;94,0
2019;92194789;4502319;76114976;16079813;8959956;6995043;124814;1552;76316617;91,8
2020;87167679;4376164;72013656;15154024;7781104;7253768;119151;1536;72242192;86,9
2021;85318194;4415181;69564541;15753653;7468793;8168227;116633;1520;69759133;83,8
2022;87703434;4438836;72384360;15319074;8050009;7157035;112031;1521;72601498;86,6
2023;83761614;4031326;69345523;14416091;7839908;6462585;113598;1511;69525288;83,5
2024;82678342;4242206;68037090;14641252;8089538;6444314;107401;1468;68202694;81,7
2025;77707440;4020477;64094924;13612516;7984939;5527874;99703;1415;64261615;76,9
__________
"Ohne Bier mit einem Alkoholgehalt von 0,5 vol % und weniger
(Alkoholfreies Bier, Malztrunk).

Annähernder Verbrauch von Bier je Einwohner:
Ab 2011: Berechnet mit den Ergebnissen der
Bevölkerungsfortschreibung auf Grundlage des Zensus 2011.
Ab 2023: Berechnet mit den Ergebnissen der
Bevölkerungsfortschreibung auf Grundlage des Zensus 2022."
© Statistisches Bundesamt (Destatis), 2026
Stand: 24.02.2026 / 21:16:22
